Summary_Level,Category,Word,Total,Correct,Accuracy,Accuracy_Percent
category,High-Freq-Abstract,,10000,9681,0.9681,96.81
category,High-Freq-Concrete,,10000,9702,0.9702,97.02
category,Low-Freq-Abstract,,10000,8508,0.8508,85.08
category,Low-Freq-Concrete,,10000,9583,0.9583,95.83
word,High-Freq-Abstract,Ability,100,99,0.99,99.0
word,High-Freq-Abstract,Action,100,96,0.96,96.0
word,High-Freq-Abstract,Advice,100,100,1.0,100.0
word,High-Freq-Abstract,Age,100,100,1.0,100.0
word,High-Freq-Abstract,Agreement,100,91,0.91,91.0
word,High-Freq-Abstract,Air,100,97,0.97,97.0
word,High-Freq-Abstract,Anger,100,100,1.0,100.0
word,High-Freq-Abstract,Answer,100,100,1.0,100.0
word,High-Freq-Abstract,Art,100,100,1.0,100.0
word,High-Freq-Abstract,Attention,100,99,0.99,99.0
word,High-Freq-Abstract,Authority,100,100,1.0,100.0
word,High-Freq-Abstract,Beauty,100,100,1.0,100.0
word,High-Freq-Abstract,Belief,100,97,0.97,97.0
word,High-Freq-Abstract,Benefit,100,100,1.0,100.0
word,High-Freq-Abstract,Business,100,100,1.0,100.0
word,High-Freq-Abstract,Care,100,99,0.99,99.0
word,High-Freq-Abstract,Case,100,99,0.99,99.0
word,High-Freq-Abstract,Cause,100,100,1.0,100.0
word,High-Freq-Abstract,Chance,100,100,1.0,100.0
word,High-Freq-Abstract,Change,100,98,0.98,98.0
word,High-Freq-Abstract,Choice,100,98,0.98,98.0
word,High-Freq-Abstract,City,100,100,1.0,100.0
word,High-Freq-Abstract,Class,100,100,1.0,100.0
word,High-Freq-Abstract,Color,100,100,1.0,100.0
word,High-Freq-Abstract,Comfort,100,100,1.0,100.0
word,High-Freq-Abstract,Company,100,94,0.94,94.0
word,High-Freq-Abstract,Condition,100,100,1.0,100.0
word,High-Freq-Abstract,Control,100,100,1.0,100.0
word,High-Freq-Abstract,Cost,100,99,0.99,99.0
word,High-Freq-Abstract,Country,100,63,0.63,63.0
word,High-Freq-Abstract,Course,100,100,1.0,100.0
word,High-Freq-Abstract,Credit,100,100,1.0,100.0
word,High-Freq-Abstract,Culture,100,100,1.0,100.0
word,High-Freq-Abstract,Danger,100,22,0.22,22.0
word,High-Freq-Abstract,Data,100,100,1.0,100.0
word,High-Freq-Abstract,Date,100,100,1.0,100.0
word,High-Freq-Abstract,Death,100,100,1.0,100.0
word,High-Freq-Abstract,Decision,100,100,1.0,100.0
word,High-Freq-Abstract,Degree,100,100,1.0,100.0
word,High-Freq-Abstract,Design,100,100,1.0,100.0
word,High-Freq-Abstract,Desire,100,99,0.99,99.0
word,High-Freq-Abstract,Detail,100,100,1.0,100.0
word,High-Freq-Abstract,Difference,100,100,1.0,100.0
word,High-Freq-Abstract,Direction,100,95,0.95,95.0
word,High-Freq-Abstract,Discussion,100,99,0.99,99.0
word,High-Freq-Abstract,Disease,100,100,1.0,100.0
word,High-Freq-Abstract,Doubt,100,94,0.94,94.0
word,High-Freq-Abstract,Dream,100,100,1.0,100.0
word,High-Freq-Abstract,Duty,100,99,0.99,99.0
word,High-Freq-Abstract,Economy,100,100,1.0,100.0
word,High-Freq-Abstract,Effect,100,99,0.99,99.0
word,High-Freq-Abstract,Effort,100,100,1.0,100.0
word,High-Freq-Abstract,Energy,100,100,1.0,100.0
word,High-Freq-Abstract,Error,100,99,0.99,99.0
word,High-Freq-Abstract,Event,100,100,1.0,100.0
word,High-Freq-Abstract,Example,100,100,1.0,100.0
word,High-Freq-Abstract,Experience,100,100,1.0,100.0
word,High-Freq-Abstract,Fact,100,100,1.0,100.0
word,High-Freq-Abstract,Failure,100,100,1.0,100.0
word,High-Freq-Abstract,Faith,100,100,1.0,100.0
word,High-Freq-Abstract,Family,100,100,1.0,100.0
word,High-Freq-Abstract,Fear,100,99,0.99,99.0
word,High-Freq-Abstract,Feeling,100,100,1.0,100.0
word,High-Freq-Abstract,Force,100,100,1.0,100.0
word,High-Freq-Abstract,Form,100,100,1.0,100.0
word,High-Freq-Abstract,Freedom,100,100,1.0,100.0
word,High-Freq-Abstract,Friendship,100,99,0.99,99.0
word,High-Freq-Abstract,Fun,100,99,0.99,99.0
word,High-Freq-Abstract,Future,100,100,1.0,100.0
word,High-Freq-Abstract,Game,100,100,1.0,100.0
word,High-Freq-Abstract,Goal,100,100,1.0,100.0
word,High-Freq-Abstract,Government,100,100,1.0,100.0
word,High-Freq-Abstract,Group,100,98,0.98,98.0
word,High-Freq-Abstract,Growth,100,100,1.0,100.0
word,High-Freq-Abstract,Happiness,100,52,0.52,52.0
word,High-Freq-Abstract,Hate,100,18,0.18,18.0
word,High-Freq-Abstract,Health,100,100,1.0,100.0
word,High-Freq-Abstract,Help,100,99,0.99,99.0
word,High-Freq-Abstract,History,100,100,1.0,100.0
word,High-Freq-Abstract,Hope,100,100,1.0,100.0
word,High-Freq-Abstract,Idea,100,99,0.99,99.0
word,High-Freq-Abstract,Image,100,99,0.99,99.0
word,High-Freq-Abstract,Impact,100,100,1.0,100.0
word,High-Freq-Abstract,Industry,100,99,0.99,99.0
word,High-Freq-Abstract,Information,100,100,1.0,100.0
word,High-Freq-Abstract,Interest,100,100,1.0,100.0
word,High-Freq-Abstract,Issue,100,100,1.0,100.0
word,High-Freq-Abstract,Job,100,100,1.0,100.0
word,High-Freq-Abstract,Joy,100,88,0.88,88.0
word,High-Freq-Abstract,Justice,100,100,1.0,100.0
word,High-Freq-Abstract,Knowledge,100,100,1.0,100.0
word,High-Freq-Abstract,Law,100,99,0.99,99.0
word,High-Freq-Abstract,Level,100,100,1.0,100.0
word,High-Freq-Abstract,Life,100,100,1.0,100.0
word,High-Freq-Abstract,Line,100,100,1.0,100.0
word,High-Freq-Abstract,Love,100,100,1.0,100.0
word,High-Freq-Abstract,Luck,100,100,1.0,100.0
word,High-Freq-Abstract,Market,100,98,0.98,98.0
word,High-Freq-Abstract,Matter,100,100,1.0,100.0
word,High-Freq-Abstract,Meaning,100,100,1.0,100.0
word,High-Freq-Concrete,Apple,100,100,1.0,100.0
word,High-Freq-Concrete,Baby,100,49,0.49,49.0
word,High-Freq-Concrete,Ball,100,100,1.0,100.0
word,High-Freq-Concrete,Banana,100,100,1.0,100.0
word,High-Freq-Concrete,Bed,100,100,1.0,100.0
word,High-Freq-Concrete,Bird,100,99,0.99,99.0
word,High-Freq-Concrete,Boat,100,100,1.0,100.0
word,High-Freq-Concrete,Book,100,100,1.0,100.0
word,High-Freq-Concrete,Bottle,100,100,1.0,100.0
word,High-Freq-Concrete,Box,100,99,0.99,99.0
word,High-Freq-Concrete,Boy,100,100,1.0,100.0
word,High-Freq-Concrete,Bread,100,100,1.0,100.0
word,High-Freq-Concrete,Bus,100,100,1.0,100.0
word,High-Freq-Concrete,Cake,100,100,1.0,100.0
word,High-Freq-Concrete,Camera,100,100,1.0,100.0
word,High-Freq-Concrete,Car,100,100,1.0,100.0
word,High-Freq-Concrete,Cat,100,100,1.0,100.0
word,High-Freq-Concrete,Chair,100,100,1.0,100.0
