High-Freq-Concrete,Low-Freq-Concrete,High-Freq-Abstract,Low-Freq-Abstract
Apple,Abacus,Ability,Aberration
Baby,Accordion,Action,Acrimony
Ball,Acorn,Advice,Adulation
Banana,Anvil,Age,Affluence
Bed,Archipelago,Agreement,Alacrity
Bird,Armadillo,Air,Allegory
Boat,Artichoke,Anger,Ambivalence
Book,Asparagus,Answer,Amnesty
Bottle,Awl,Art,Anarchy
Box,Bagpipe,Attention,Animosity
Boy,Banjo,Authority,Anomaly
Bread,Barnacle,Beauty,Apathy
Bus,Barometer,Belief,Apex
Cake,Basilisk,Benefit,Aptitude
Camera,Bassoon,Business,Arrogance
Car,Baton,Care,Atonement
Cat,Beaker,Case,Atrophy
Chair,Beaver,Cause,Audacity
Chicken,Bellows,Chance,Avarice
Child,Beret,Change,Aversion
Clock,Bifocals,Choice,Banal
Cloud,Biscuit,City,Bane
Coat,Blimp,Class,Benevolence
Coffee,Bonnet,Color,Bias
Computer,Boomerang,Comfort,Bigotry
Corn,Bouquet,Company,Blasphemy
Cow,Bramble,Condition,Brevity
Cup,Brocade,Control,Calamity
Desk,Buckle,Cost,Candor
Doctor,Bungalow,Country,Catharsis
Dog,Cactus,Course,Censure
Door,Cauldron,Credit,Chaos
Dress,Cello,Culture,Charisma
Ear,Centipede,Danger,Chivalry
Egg,Chalice,Data,Clemency
Eye,Chandelier,Date,Coercion
Face,Chariot,Death,Collusion
Farm,Chisel,Decision,Complacency
Fire,Chrysanthemum,Degree,Concord
Fish,Clarinet,Design,Consensus
Floor,Cleaver,Desire,Contempt
Flower,Cobweb,Detail,Conundrum
Food,Cockroach,Difference,Credulity
Foot,Colander,Direction,Dearth
Fork,Compass,Discussion,Debacle
Friend,Corset,Disease,Decorum
Fruit,Coyote,Doubt,Decree
Garden,Crayfish,Dream,Deference
Girl,Crowbar,Duty,Delusion
Glass,Crucible,Economy,Demise
Gold,Cuckoo,Effect,Depravity
Grass,Curio,Effort,Derision
Hair,Cutlass,Energy,Despair
Hand,Cymbal,Error,Destiny
Hat,Dagger,Event,Detriment
Head,Dandelion,Example,Devotion
Heart,Decanter,Experience,Dilemma
Home,Dirigible,Fact,Discord
Horse,Dodo,Failure,Disdain
House,Dragonfly,Faith,Dissent
Ice,Drawbridge,Family,Dogma
Key,Dumbbell,Fear,Drudgery
Knife,Dynamite,Feeling,Duplicity
Lamp,Easel,Force,Ebullience
Leaf,Eclair,Form,Ecstasy
Leg,Emus,Freedom,Edict
Letter,Epaulet,Friendship,Efficacy
Light,Ermine,Fun,Ego
Man,Espadrille,Future,Elation
Map,Falcon,Game,Elegance
Meat,Fedora,Goal,Empathy
Milk,Fez,Government,Enigma
Money,Fiddle,Group,Enmity
Moon,Figurine,Growth,Ennui
Morning,Flute,Happiness,Epiphany
Mother,Fresco,Hate,Equity
Mountain,Fuselage,Health,Essence
Mouse,Gable,Help,Euphoria
Mouth,Gadget,History,Exodus
Music,Galleon,Hope,Expediency
Night,Gargoyle,Idea,Fallacy
Nose,Gauntlet,Image,Fame
Ocean,Gazebo,Impact,Famine
Office,Geode,Industry,Fatigue
Oil,Gerbil,Information,Feud
Paper,Geyser,Interest,Fidelity
Park,Gimlet,Issue,Finesse
Pen,Glacier,Job,Flattery
Phone,Glider,Joy,Folly
Picture,Gnome,Justice,Fortitude
Pig,Goblet,Knowledge,Frenzy
Pizza,Gondola,Law,Friction
Plane,Gong,Level,Frugality
Plant,Gopher,Life,Futility
Plate,Gorilla,Line,Gallantry
Rain,Astrolabe,Love,Gambit
Ring,Pangolin,Luck,Genesis
River,Trebuchet,Market,Glamour
Road,Ziggurat,Matter,Gluttony
Rock,Harpsichord,Meaning,Gratitude
