idx,Category,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Correct_Until_Gen_2,Correct_Until_Gen_3,Correct_Until_Gen_4,Correct_Until_Gen_5,Correct_Until_Gen_6,Correct_Until_Gen_7,Correct_Until_Gen_8,Correct_Until_Gen_9,Correct_Until_Gen_10,Correct_Until_Gen_11
0,High-Freq-Abstract,Future,Future,,Future,,Furuee,,Future,,Future,,1,1,2,2,2,2,3,3,4,4
1,Low-Freq-Concrete,Glacier,Glacier,,Iceberg,,Iceberg,,Iceberg,,Iceberg,,1,1,1,1,1,1,1,1,1,1
2,Low-Freq-Abstract,Animosity,Malice,,Malice,,Crime,,Crime,,Felony,,0,0,0,0,0,0,0,0,0,0
3,High-Freq-Abstract,Condition,Condition,,Health,,Happy,,Happiness,,Ecstasy,,1,1,1,1,1,1,1,1,1,1
4,High-Freq-Abstract,Market,Market,,Store,,Mall,,Mall,,Mall,,1,1,1,1,1,1,1,1,1,1
5,High-Freq-Concrete,Oil,Oil,,Oil,,Oil,,Oil,,Oil,,1,1,2,2,3,3,4,4,5,5
6,Low-Freq-Abstract,Enigma,Enigma,,Enigma,,Time,,Time,,Age,,1,1,2,2,2,2,2,2,2,2
7,Low-Freq-Abstract,Gluttony,Gluttony,,Gluttony,,Greedy,,Greed,,Covet,,1,1,2,2,2,2,2,2,2,2
8,High-Freq-Concrete,Horse,Horse,,Horse,,Horse,,Horse,,Horse,,1,1,2,2,3,3,4,4,5,5
9,Low-Freq-Concrete,Beaker,Beaker,,Beaker,,Beaker,,Beaker,,Beaker,,1,1,2,2,3,3,4,4,5,5
10,High-Freq-Abstract,Information,Information,,Research,,Read,,Reading,,Linquistics,,1,1,1,1,1,1,1,1,1,1
11,High-Freq-Concrete,Child,Child,,Child,,Teenager,,Teenager,,Adolescent,,1,1,2,2,2,2,2,2,2,2
12,Low-Freq-Abstract,Deference,Deference,,Respect,,Complimemt,,Praise,,Positive,,1,1,1,1,1,1,1,1,1,1
13,Low-Freq-Concrete,Cymbal,Cymbal,,Cymbal,,Cymbal,,Cymbals,,Cymbal,,1,1,2,2,3,3,4,4,5,5
14,Low-Freq-Concrete,Buckle,Buckle,,Shoe,,Shoe,,Shoe,,Shoe,,1,1,1,1,1,1,1,1,1,1
15,High-Freq-Concrete,Rain,Rain,,Rain,,Rain,,Rain,,Rain,,1,1,2,2,3,3,4,4,5,5
16,High-Freq-Abstract,Hate,,Hate,,Hate,,Hatred,,Hate,,Hate,0,1,1,2,2,2,2,3,3,4
17,High-Freq-Concrete,Bird,,Bird,,Bird,,Hen,,Hen,,Hen,0,1,1,2,2,2,2,2,2,2
18,Low-Freq-Concrete,Ermine,,Dalmation,,Dalmatian,,Dalmatians,,Dalmatian,,Dalmation,0,0,0,0,0,0,0,0,0,0
19,Low-Freq-Abstract,Avarice,,Avarice,,Saving,,Mortgage,,Mortgage,,Mortgage,0,1,1,1,1,1,1,1,1,1
20,Low-Freq-Abstract,Depravity,,Evil,,Evil,,Evil,,Evil,,Evil,0,0,0,0,0,0,0,0,0,0
21,Low-Freq-Concrete,Cactus,,Cactus,,Cactus,,Cactus,,Cactus,,Cactus,0,1,1,2,2,3,3,4,4,5
22,High-Freq-Concrete,Glass,,Glass,,Glass,,Glass,,Glass,,Glass,0,1,1,2,2,3,3,4,4,5
23,High-Freq-Concrete,Map,,Map,,Map,,Passport,,Passport,,Visa,0,1,1,2,2,2,2,2,2,2
24,Low-Freq-Concrete,Bouquet,,Boquet,,Bouquet,,Wedding,,Wedding,,Wedding,0,0,0,1,1,1,1,1,1,1
25,Low-Freq-Abstract,Adulation,,Adulation,,Fangirling,,Celebrity,,Celebrity,,Celebrity,0,1,1,1,1,1,1,1,1,1
26,High-Freq-Abstract,Knowledge,,Knowledge,,Knowledge,,Knowledge,,Knowledge,,Knowledge,0,1,1,2,2,3,3,4,4,5
27,High-Freq-Abstract,Age,,Age,,Age,,Age,,Age,,Age,0,1,1,2,2,3,3,4,4,5
28,High-Freq-Abstract,Credit,,Credit,,Award,,Trophy,,Medal,,Medal,0,1,1,1,1,1,1,1,1,1
29,Low-Freq-Abstract,Fame,,Fame,,Celebrity,,Gossip,,Bullying,,Bullying,0,1,1,1,1,1,1,1,1,1
30,Low-Freq-Concrete,Barnacle,,Barnacle,,Leech,,Leech,,Leech,,Leech,0,1,1,1,1,1,1,1,1,1
31,High-Freq-Concrete,Pen,,Pen,,Pen,,Pen,,Pen,,Pen,0,1,1,2,2,3,3,4,4,5
